query_id,model_id,category,needs_review
365fb6018fd9a003,gemini-3-1-pro,fabrication,False
a7f7f2962828fd77,llama-4-maverick,hedge,True
e98744edc9a2fb27,gpt-5-5,hedge,True
864086efb0f76dcb,deepseek-v3-0324,hedge,True
a4d1e595be222deb,glm-5-2,misattribution,True
d490f46232e947f5,gpt-5-5,refusal,False
f4997d9096b1375e,claude-opus-4-8,fabrication,False
bb4a20db451e4da8,mistral-large-3,hedge,True
5c33a4c5ded61334,deepseek-v3-0324,hedge,True
75188b15f207e2ad,grok-4-3,correct,False
51061eff6fe9fdbb,deepseek-v3-0324,correct,False
d1796f7658a198d4,gemini-3-1-pro,fabrication,False
d72c27a64c93f463,gemini-3-1-pro,correct,False
13477ed0c85870b9,mistral-large-3,refusal,True
969d4f62e918fb3f,grok-4-3,hedge,True
7e1ef30624f0bdb4,gpt-5-4,refusal,False
20cc77e34435b6e6,claude-opus-4-8,misattribution,True
b31004246061d5e4,gpt-5-4,fabrication,False
502946f2ab732d0e,glm-5-2,misattribution,True
bae70cf79cd6a916,deepseek-v3-0324,misattribution,True
2479af534a034147,claude-opus-4-8,correct,False
c980cce5178f359f,llama-4-maverick,refusal,True
fc32b3f1d2bc9c84,qwen3-235b-a22b,refusal,False
a1a274fb96801f8f,qwen3-235b-a22b,hedge,True
0e70205c245cd7a1,grok-4-3,hedge,True
495eeba5b7b39fb8,qwen3-235b-a22b,refusal,True
35c928c42a2f8b85,deepseek-v3-0324,hedge,True
00be73f6e0a715c9,gemini-3-1-pro,misattribution,True
3f5336aa4d2586db,gemini-3-1-pro,refusal,True
459a0ef42baad395,llama-4-maverick,refusal,False
1ef0702ece7d4156,qwen3-235b-a22b,hedge,True
75f0e4fdc4f338b3,glm-5-2,fabrication,False
c85a376b8878775c,deepseek-v3-0324,misattribution,True
d678df593673fef7,gpt-5-5,fabrication,False
30672ebcba35a979,glm-5-2,refusal,False
ab155683516e9e62,mistral-large-3,fabrication,False
04fc6fcd67fe662d,gemini-3-1-pro,misattribution,True
cbe6ff1ae8462a1c,qwen3-235b-a22b,hedge,True
354836dfcf00cd60,mistral-large-3,correct,False
33144de939f1bec8,gpt-5-5,misattribution,True
86db7e9e357f122a,grok-4-3,hedge,True
d4f8f6e7c85a21ae,claude-opus-4-8,hedge,True
e19798de15ffedf2,qwen3-235b-a22b,fabrication,False
b28a57a6916cfe20,grok-4-20,refusal,True
45f559f492430c3b,claude-opus-4-8,hedge,True
8706fb329ac50aa0,glm-5-2,misattribution,True
9c796895ad57ad84,mistral-large-3,misattribution,True
0ade524b1413766b,gemini-3-1-pro,correct,False
73c3cdb6b8dcc68f,deepseek-v3-0324,fabrication,False
cbdb6607ad310dc5,qwen3-235b-a22b,correct,False
07fb68249126b7f9,gpt-5-5,correct,False
cbd5155d54789fe4,gpt-5-5,correct,False
76ba4af215be5b12,gemini-3-1-pro,correct,False
9ccae7a24cb23e98,gemini-3-1-pro,refusal,True
b33c8b9a96c4ce40,qwen3-235b-a22b,fabrication,True
4ba6aa938e054b9d,grok-4-3,fabrication,False
0b019a3e8c2552ae,gpt-5-4,correct,False
d068edab6aefdc46,glm-5-2,fabrication,False
f92739c442381e4a,gemini-3-1-pro,misattribution,True
495ddcc2aeea0796,glm-5-2,refusal,True
74ec5249d3dacad0,deepseek-v3-0324,hedge,True
74750f74b5a9922a,glm-5-2,hedge,True
c606368a51bfc3c2,grok-4-20,misattribution,True
efe5eef365114bdf,qwen3-235b-a22b,refusal,False
92a788127096b917,deepseek-v3-0324,hedge,True
4edc068fb10c51e1,deepseek-v3-0324,hedge,True
53af1f683587e69c,glm-5-2,refusal,True
ccda6a779c149269,mistral-large-3,refusal,True
a4d1e595be222deb,deepseek-v3-0324,misattribution,True
5d060626098247c6,grok-4-20,hedge,True
19b7d53dbba58f85,grok-4-20,fabrication,False
b36385150e7f23b5,claude-opus-4-8,correct,False
31f116b539c31232,llama-4-maverick,misattribution,True
2c705699e6bd11ed,grok-4-3,misattribution,True
cafc1a65eff263ff,llama-4-maverick,misattribution,True
e21857b50e1a6fd0,qwen3-235b-a22b,refusal,True
d72eaf5647ebea28,grok-4-20,hedge,True
5f8a916c63e2ffc9,gpt-5-4,refusal,False
e36ab679dfab3744,glm-5-2,refusal,True
8dba4e8fc992c5de,llama-4-maverick,refusal,False
bddddda092658a4a,gpt-5-5,refusal,False
78c5a015958ff394,llama-4-maverick,misattribution,True
75d200b1dcb11876,qwen3-235b-a22b,refusal,True
4505adb34acb9265,grok-4-3,hedge,True
b912c39e9680408b,deepseek-v3-0324,hedge,True
4f4562664852b9c9,claude-opus-4-8,misattribution,True
0a0146d162bdb8f0,glm-5-2,correct,False
1ffabd0c6ba1abeb,gpt-5-4,fabrication,False
465f855b0dfadb02,grok-4-3,misattribution,True
759b04a064e40ccb,gpt-5-4,fabrication,False
b01e446a4843c79c,gpt-5-4,refusal,False
6f6708cd3bf52ec0,deepseek-v3-0324,hedge,True
fdb70e86803c970a,deepseek-v3-0324,fabrication,False
d0dd92a1cffb3b61,grok-4-20,fabrication,False
431fcac22292ed50,gpt-5-5,fabrication,False
1c85d0ef5ce2364a,gpt-5-5,refusal,False
a183edc5381444aa,gpt-5-4,hedge,True
6984ec314b7e0854,claude-opus-4-8,fabrication,False
bcbd6668be4e9a54,llama-4-maverick,hedge,True
d8d8f7efd4e29fd6,deepseek-v3-0324,misattribution,True
95d0cb8040f620e4,deepseek-v3-0324,refusal,True
dacebf4f54aa591a,gpt-5-4,correct,False
36204211d24c85a1,qwen3-235b-a22b,refusal,False
4e798ebf4979c828,grok-4-20,refusal,False
ea2132b537e28dd1,deepseek-v3-0324,hedge,True
681c6f0c4eb1387b,llama-4-maverick,refusal,False
34796e1db8be9956,gemini-3-1-pro,refusal,False
136b3881d855eb83,gpt-5-5,refusal,False
f27ac24bace32404,gpt-5-5,hedge,True
b8968bb776c490de,llama-4-maverick,hedge,True
980678b6dc6d49dc,glm-5-2,refusal,False
55754966ca5dbb41,mistral-large-3,hedge,True
9b99a6d869de7bd1,grok-4-3,refusal,True
404dbd4f9d3ee5eb,llama-4-maverick,hedge,True
c81d0a2f7bc3d9d7,grok-4-3,misattribution,True
ea83424142dd4315,llama-4-maverick,correct,False
803e36db04818bb8,grok-4-3,correct,False
9c796895ad57ad84,gemini-3-1-pro,refusal,True
675742e36146b0e3,qwen3-235b-a22b,correct,False
f1b4fc981fad8459,llama-4-maverick,refusal,False
a0a0f9c63cc7997e,gemini-3-1-pro,refusal,False
a407f2dfed9b5451,claude-opus-4-8,correct,False
42d73210fa1bea73,grok-4-3,misattribution,True
f9a13e00b6a9846c,qwen3-235b-a22b,misattribution,True
d9c0f6b74e42cd97,glm-5-2,misattribution,True
73c3cdb6b8dcc68f,gemini-3-1-pro,misattribution,True
6ff51d7afe181531,grok-4-3,hedge,True
ebb766ee15c3896b,grok-4-20,correct,False
ef213a854a0c8ba3,llama-4-maverick,refusal,True
d892fa1de2d8dbf7,mistral-large-3,correct,False
dd3fc7ab3a5fb2aa,deepseek-v3-0324,misattribution,True
6d7b7bbfeb07db84,qwen3-235b-a22b,fabrication,True
7cc4c21cb21634cd,glm-5-2,hedge,True
b7b742d32e67181d,glm-5-2,correct,False
d72eaf5647ebea28,mistral-large-3,fabrication,False
ca0c48a521f7c071,glm-5-2,refusal,False
b16d34ffd651da97,deepseek-v3-0324,hedge,True
2f8d68a8aef670a5,deepseek-v3-0324,refusal,False
ad9453fa84a8927f,grok-4-20,correct,False
660035dbf333149f,deepseek-v3-0324,fabrication,False
08459f1e35c6d4e4,claude-opus-4-8,fabrication,False
301b3f6341b3bf74,gpt-5-4,correct,False
f208898201087613,glm-5-2,correct,False
3d3be96d3a5e4e9d,deepseek-v3-0324,misattribution,True
40a0e90794148c5d,qwen3-235b-a22b,correct,False
c052fa64570494f1,gemini-3-1-pro,fabrication,False
e11785b758041d76,grok-4-3,refusal,False
7da79bceee6eaca4,llama-4-maverick,fabrication,False
2e0c0caa8d05d414,claude-opus-4-8,misattribution,True
79768b3d104c2018,claude-opus-4-8,correct,False
7b8243983c6df51e,qwen3-235b-a22b,fabrication,True
79d0eb498b7ac922,qwen3-235b-a22b,refusal,False
23da96a1e61a0cb7,grok-4-3,fabrication,False
8cfa4f081cd1f8c6,grok-4-20,refusal,False
390df1eb7c433310,qwen3-235b-a22b,refusal,False
44b4bf514a9f5a81,gpt-5-5,correct,False
86f0fde71d7fa7ad,claude-opus-4-8,hedge,False
d94d3619d2d86afb,mistral-large-3,correct,False
59e20eef7f5b862a,gemini-3-1-pro,fabrication,False
b8d9d87c0b7c5c13,deepseek-v3-0324,misattribution,True
eaebb984a8175e8d,grok-4-3,hedge,True
c598952f4e431c60,gpt-5-4,fabrication,False
951300fff58f1a2d,claude-opus-4-8,fabrication,False
2949254d7597d7e0,llama-4-maverick,fabrication,False
444fe1362aa4da8e,grok-4-20,misattribution,True
5cc602ec8f31a698,gemini-3-1-pro,refusal,False
cec28e49366d770b,gpt-5-5,refusal,False
1760783d4d1f74a2,gpt-5-5,misattribution,True
3504ec65ff44c877,claude-opus-4-8,hedge,True
30bc14fec4622a78,grok-4-3,hedge,True
fe6d93a5577aac06,gpt-5-5,fabrication,False
4831bdcb84f5e4a6,gpt-5-5,refusal,False
196552783809b362,qwen3-235b-a22b,misattribution,True
79d6c1b56f4b8c1d,llama-4-maverick,fabrication,False
2c3846715a186192,glm-5-2,fabrication,False
a6f64b9f78980214,deepseek-v3-0324,correct,False
a096c154e3923898,qwen3-235b-a22b,correct,False
198ae1af47d29805,claude-opus-4-8,refusal,True
72e221be3c750f2c,deepseek-v3-0324,refusal,False
f9e2e2f4ff40b8b2,gpt-5-5,hedge,True
f0693c6544856acc,gemini-3-1-pro,correct,False
dd3fc7ab3a5fb2aa,gpt-5-5,misattribution,True
e71d023c9dda8a3a,qwen3-235b-a22b,refusal,True
fc1aa4fdf8a3c169,mistral-large-3,misattribution,True
f782c0665367a179,llama-4-maverick,refusal,False
f263b8cefd056b22,grok-4-3,refusal,False
b0202db301f96ca6,grok-4-3,refusal,False
a7ed50c1b2d6d6e5,mistral-large-3,hedge,True
49ed45d2b1c93bd8,llama-4-maverick,correct,False
7b801455f311e5fb,gpt-5-5,hedge,True
aabf35ee53fa2fb6,mistral-large-3,refusal,False
d65ea719dd459aed,qwen3-235b-a22b,hedge,True
fd4149748d95c6b8,deepseek-v3-0324,fabrication,False
fb3b8f2f0454332c,gpt-5-4,refusal,False
d6e6d227754ac614,llama-4-maverick,fabrication,False
d2981dac9c310d7d,gpt-5-5,misattribution,True
59138cbf56b22a85,mistral-large-3,misattribution,True
a28dcdd15fc3cc8d,grok-4-3,fabrication,False
d2fa42e528a1dc2a,qwen3-235b-a22b,fabrication,False
5f8a916c63e2ffc9,gemini-3-1-pro,refusal,False
446c64a39924ff86,gemini-3-1-pro,hedge,True
431f84e2fe115d5b,llama-4-maverick,misattribution,True
467ed0733cc81fa0,mistral-large-3,hedge,True
8f2b55d056bc6c14,glm-5-2,misattribution,True
0e0af32c9d23d578,gpt-5-4,hedge,True
441ab8893f60fafa,grok-4-20,correct,False
41c8df62810f9dc8,gpt-5-5,correct,False
079b2951e4e5c89e,grok-4-20,correct,False
0462ec8952c1a47e,gpt-5-5,correct,False
7681ddbb7655b329,mistral-large-3,correct,False
b5c9092c70464110,deepseek-v3-0324,refusal,True
ba361dffa9c088ec,gemini-3-1-pro,hedge,True
f1cf66f9a6304eb6,deepseek-v3-0324,refusal,True
682e89299f7351e8,gemini-3-1-pro,fabrication,False
ad5d3b1f96dc7da3,gpt-5-4,correct,False
de9cdab61021b036,gemini-3-1-pro,refusal,True
ce46d763efe7dc2c,grok-4-20,refusal,True
72a3e397a71c3feb,claude-opus-4-8,correct,False
602a5f6f3511e88f,qwen3-235b-a22b,misattribution,True
190e1329fdbff64d,claude-opus-4-8,fabrication,False
1eb87656fb66e225,glm-5-2,hedge,True
b3c30770b0bfa658,mistral-large-3,fabrication,False
024f769cbd830eb2,deepseek-v3-0324,correct,False
42e1093fa3a75d2b,grok-4-20,fabrication,False
e0ef4768b9cd1863,grok-4-20,refusal,True
efaf3bd3cfa59d74,mistral-large-3,fabrication,False
bae70cf79cd6a916,grok-4-20,misattribution,True
35dcb62ef6ee7813,grok-4-20,hedge,True
49ed45d2b1c93bd8,claude-opus-4-8,refusal,True
74ec5249d3dacad0,grok-4-3,correct,False
9e39a9533024db31,claude-opus-4-8,hedge,True
31d0a910c123d43f,mistral-large-3,correct,False
2b445eeee9a1e7be,gpt-5-4,hedge,True
a1ed65dcf8364d8d,mistral-large-3,refusal,False
de1cad6d184a1b15,claude-opus-4-8,hedge,True
9cfd29eeeaf63e78,claude-opus-4-8,refusal,True
b31004246061d5e4,llama-4-maverick,hedge,True
717955363c71cb86,gpt-5-5,hedge,True
2e51e1e4d95cce55,llama-4-maverick,fabrication,False
3021409bb912b121,gpt-5-5,misattribution,True
fcf8cbe411973d8f,grok-4-20,refusal,True
85d8ecfd938ec074,grok-4-3,refusal,True
e0eb6a20e66f9424,llama-4-maverick,hedge,True
16026b718eb85067,glm-5-2,correct,False
a889b7ce553b0c95,gemini-3-1-pro,hedge,True
3021409bb912b121,grok-4-20,fabrication,False
4e3bfb4ca13b545e,qwen3-235b-a22b,hedge,True
5e9279c69be659a2,mistral-large-3,correct,False
72f117ef386ce749,glm-5-2,hedge,True
e19798de15ffedf2,claude-opus-4-8,misattribution,True
c06bff467b7c614c,gemini-3-1-pro,fabrication,False
749d61dbaedbca7f,claude-opus-4-8,hedge,True
db203cdca1b0caba,glm-5-2,hedge,True
